phase,n_docs,epoch,query_idx,filter_idx,selectivity,strategy_chosen,latency_ms,recall,reward,q_bitmap,q_post,crossover_estimate,was_guardrail,oracle_strategy,oracle_reward
2,200000,7,27,2,0.09076,post_filter,0.8111249990179203,1.0,0.959443750049104,0.3300112132531894,0.5909580247038586,0.2,False,post_filter,0.959443750049104
2,200000,7,10,21,0.773455,post_filter,1.1827919952338561,1.0,0.9408604002383072,0.6957054038303221,0.9113174200927757,0.2,False,post_filter,0.9408604002383072
2,200000,7,23,6,0.178125,bitmap_prefilter,2.0523329949355684,1.0,0.8973833502532216,0.7682600316583689,0.4829088640644346,0.2,False,post_filter,0.939400050061522
2,200000,7,42,10,0.269975,bitmap_prefilter,2.258876003907062,1.0,0.8870561998046469,0.8438035993445826,0.5452928994679247,0.2,False,post_filter,0.9542895500781015
2,200000,7,35,20,0.750325,post_filter,0.4125420091440901,1.0,0.9793728995427955,0.6272004770688323,0.8756236080767841,0.2,False,post_filter,0.9793728995427955
2,200000,7,32,14,0.389405,bitmap_prefilter,3.4942089987453073,1.0,0.8252895500627346,0.7273542935177404,0.697618377699318,0.2,False,post_filter,0.9413375000585802
2,200000,7,22,10,0.269975,bitmap_prefilter,1.9765830002143048,1.0,0.9011708499892848,0.848128859390589,0.5452928994679247,0.2,False,post_filter,0.9763583000458311
2,200000,7,33,1,0.070755,post_filter,0.7802079999237321,0.9,0.6923318264143113,0.3300112132531894,0.6278065972383832,0.2,False,post_filter,0.6923318264143113
2,200000,7,7,28,0.929375,post_filter,1.3310000067576766,1.0,0.9334499996621162,0.5,0.8816588449497341,0.2,True,post_filter,0.9334499996621162
2,200000,7,22,21,0.773455,post_filter,0.4652089992305264,1.0,0.9767395500384737,0.6957054038303221,0.9142717181073289,0.2,False,post_filter,0.9767395500384737
2,200000,7,13,8,0.23102,post_filter,1.9326660039951093,0.9,0.6508181953187531,0.5460340558610753,0.586290914957227,0.2,False,bitmap_prefilter,0.660764683569455
2,200000,7,18,9,0.249675,post_filter,0.855666003189981,1.0,0.957216699840501,0.6926806434229672,0.8502517216871291,0.2,False,post_filter,0.957216699840501
2,200000,7,25,22,0.789645,post_filter,1.3195419960538857,1.0,0.9340229001973057,0.6957054038303221,0.9205185013004433,0.2,False,post_filter,0.9340229001973057
2,200000,7,25,0,0.05003,post_filter,1.0314159953850321,0.8,0.21041432388836617,0.3300112132531894,0.634259120155976,0.2,False,bitmap_prefilter,0.21229176572732142
2,200000,7,41,16,0.658305,post_filter,0.4476669928408228,1.0,0.9776166503579589,0.6101651786694441,0.822117309567328,0.2,False,post_filter,0.9776166503579589
2,200000,7,18,16,0.658305,post_filter,0.9216239996021613,1.0,0.9539188000198919,0.6101651786694441,0.8376672436463911,0.2,False,post_filter,0.9539188000198919
2,200000,7,15,13,0.340115,post_filter,1.1694159984472208,1.0,0.941529200077639,0.5880582097774654,0.8845566586643958,0.2,False,post_filter,0.941529200077639
2,200000,7,33,17,0.68122,post_filter,1.1420839946367778,1.0,0.9428958002681611,0.7183951775832275,0.83211734305532,0.2,False,post_filter,0.9428958002681611
2,200000,7,41,2,0.09076,post_filter,0.35970799945062026,0.8,0.2178654327207683,0.3300112132531894,0.591874640529215,0.2,False,bitmap_prefilter,0.6944615801314046
2,200000,7,2,12,0.31878,post_filter,1.3640430042869411,1.0,0.9317978497856529,0.6035885225842889,0.7865322514517049,0.2,False,post_filter,0.9317978497856529
2,200000,7,13,29,0.952505,post_filter,1.9488750040181912,1.0,0.9025562497990904,0.5,0.8868379604209723,0.2,True,post_filter,0.9025562497990904
2,200000,7,8,12,0.31878,post_filter,1.062167008058168,1.0,0.9468916495970916,0.6035885225842889,0.8010588112850997,0.2,False,post_filter,0.9468916495970916
2,200000,7,15,29,0.952505,post_filter,3.775500001211185,1.0,0.8112249999394407,0.5,0.8884097893587841,0.2,True,post_filter,0.8112249999394407
2,200000,7,38,14,0.389405,bitmap_prefilter,2.9730839960393496,0.8,0.18887582847542683,0.7371478191722398,0.697618377699318,0.2,False,post_filter,0.2171425495676856
2,200000,7,12,25,0.86027,post_filter,0.6224579992704093,1.0,0.9688771000364795,0.6757144669718435,0.925604628232962,0.2,False,post_filter,0.9688771000364795
2,200000,7,47,17,0.68122,post_filter,1.1673339977278374,1.0,0.9416333001136081,0.7183951775832275,0.8431951887766042,0.2,False,post_filter,0.9416333001136081
2,200000,7,17,14,0.389405,post_filter,1.0356250058976002,1.0,0.94821874970512,0.6823206201025586,0.697618377699318,0.2,False,post_filter,0.94821874970512
2,200000,7,36,12,0.31878,post_filter,1.1448750010458753,0.9,0.6791958585058698,0.6035885225842889,0.8156420951162989,0.2,False,post_filter,0.6791958585058698
2,200000,7,8,1,0.070755,post_filter,0.8079999970505014,1.0,0.9596000001474749,0.3300112132531894,0.5544737197483703,0.2,False,post_filter,0.9596000001474749
2,200000,7,5,18,0.70283,post_filter,1.314250002906192,1.0,0.9342874998546904,0.7183951775832275,0.8530389999103045,0.2,False,post_filter,0.9342874998546904
2,200000,7,20,2,0.09076,post_filter,0.9842079962254502,1.0,0.9507896001887275,0.3300112132531894,0.5949863477882809,0.2,False,post_filter,0.9507896001887275
2,200000,7,23,5,0.16022,bitmap_prefilter,1.5010829956736416,1.0,0.9249458502163179,0.7811723635178541,0.4829088640644346,0.2,False,post_filter,0.9555770998995285
2,200000,7,44,10,0.269975,bitmap_prefilter,2.3140000048442744,1.0,0.8842999997577863,0.8534330584504586,0.5452928994679247,0.2,False,post_filter,0.9524541999562643
2,200000,7,27,11,0.3009,post_filter,1.1276669974904507,0.9,0.6798157220574849,0.6035885225842889,0.801997471455256,0.2,False,post_filter,0.6798157220574849
2,200000,7,22,22,0.789645,post_filter,0.5284170038066804,1.0,0.973579149809666,0.6957054038303221,0.9218689411901295,0.2,False,post_filter,0.973579149809666
2,200000,7,36,18,0.70283,post_filter,1.0485829989193007,1.0,0.947570850054035,0.7183951775832275,0.8611638499047432,0.2,False,post_filter,0.947570850054035
2,200000,7,26,19,0.728715,post_filter,2.248583004984539,1.0,0.887570849750773,0.6272004770688323,0.8859985372233852,0.2,False,post_filter,0.887570849750773
2,200000,7,6,6,0.178125,bitmap_prefilter,1.8478319980204105,1.0,0.9076084000989795,0.7955497121877005,0.4829088640644346,0.2,False,post_filter,0.9461395502294181
2,200000,7,8,17,0.68122,post_filter,1.0922079964075238,1.0,0.9453896001796238,0.7183951775832275,0.8698045499196724,0.2,False,post_filter,0.9453896001796238
2,200000,7,4,20,0.750325,post_filter,1.2172089991508983,1.0,0.9391395500424551,0.6272004770688323,0.886155768476124,0.2,False,post_filter,0.9391395500424551
2,200000,7,9,24,0.83714,post_filter,0.5267500018817373,0.8,0.21601247258447395,0.6757144669718435,0.9299318754133137,0.2,False,post_filter,0.21601247258447395
2,200000,7,14,22,0.789645,post_filter,1.2412500000209548,1.0,0.9379374999989523,0.6957054038303221,0.9270399620520832,0.2,False,post_filter,0.9379374999989523
2,200000,7,40,8,0.23102,post_filter,1.9907920068362728,0.8,0.19977217712848588,0.5460340558610753,0.5927436429933796,0.2,False,post_filter,0.19977217712848588
2,200000,7,21,9,0.249675,post_filter,1.1829580034827814,1.0,0.9408520998258609,0.6926806434229672,0.8609482195024664,0.2,False,post_filter,0.9408520998258609
2,200000,7,24,16,0.658305,post_filter,1.0356670027249493,1.0,0.9482166498637525,0.6101651786694441,0.8492923992837412,0.2,False,post_filter,0.9482166498637525
2,200000,7,35,21,0.773455,post_filter,0.3848330015898682,1.0,0.9807583499205066,0.6957054038303221,0.9281297158467701,0.2,False,post_filter,0.9807583499205066
2,200000,7,8,4,0.14001,post_filter,0.7412910053972155,1.0,0.9629354497301392,0.6550807438091937,0.8597336334834784,0.2,False,post_filter,0.9629354497301392
2,200000,7,11,17,0.68122,post_filter,1.0402080006315373,1.0,0.9479895999684231,0.7183951775832275,0.8773630549456675,0.2,False,post_filter,0.9479895999684231
2,200000,7,20,18,0.70283,post_filter,1.1837929996545427,1.0,0.9408103500172729,0.7183951775832275,0.8844257094479431,0.2,False,post_filter,0.9408103500172729
2,200000,7,5,21,0.773455,post_filter,1.2852920044679195,1.0,0.935735399776604,0.6957054038303221,0.9333925792541438,0.2,False,post_filter,0.935735399776604
2,200000,7,20,29,0.952505,post_filter,2.183248994697351,1.0,0.8908375502651324,0.5,0.8806913104168498,0.2,True,post_filter,0.8908375502651324
2,200000,7,6,9,0.249675,post_filter,1.1256259967922233,1.0,0.9437187001603888,0.6926806434229672,0.8689386075348058,0.2,False,post_filter,0.9437187001603888
2,200000,7,18,17,0.68122,post_filter,0.8927499948185869,1.0,0.9553625002590707,0.7183951775832275,0.8900641735048761,0.2,False,post_filter,0.9553625002590707
2,200000,7,39,13,0.340115,post_filter,1.1841250016004778,1.0,0.9407937499199761,0.5880582097774654,0.8902539128057201,0.2,False,post_filter,0.9407937499199761
2,200000,7,23,4,0.14001,post_filter,0.9554990028846078,1.0,0.9522250498557696,0.6550807438091937,0.8700538151081445,0.2,False,post_filter,0.9522250498557696
2,200000,7,37,13,0.340115,post_filter,1.302792996284552,1.0,0.9348603501857724,0.5880582097774654,0.8953078965171457,0.2,False,post_filter,0.9348603501857724
2,200000,7,13,15,0.610595,post_filter,2.758249996986706,1.0,0.8620875001506647,0.6101651786694441,0.8591848243417424,0.2,False,post_filter,0.8620875001506647
2,200000,7,40,5,0.16022,bitmap_prefilter,1.552916997752618,0.7,0.05383300470995431,0.8067555809788285,0.4829088640644346,0.2,False,post_filter,0.054664702927542844
2,200000,7,11,19,0.728715,post_filter,4.2937079997500405,1.0,0.785314600012498,0.6272004770688323,0.8914541466327571,0.2,False,post_filter,0.785314600012498
2,200000,7,24,19,0.728715,post_filter,2.3963749990798533,1.0,0.8801812500460073,0.6272004770688323,0.8808401919707312,0.2,False,post_filter,0.8801812500460073
2,200000,7,17,20,0.750325,post_filter,1.0847500088857487,1.0,0.9457624995557126,0.6272004770688323,0.8807742977782588,0.2,False,post_filter,0.9457624995557126
2,200000,7,19,28,0.929375,post_filter,1.0809999948833138,1.0,0.9459500002558343,0.5,0.881705934401678,0.2,True,post_filter,0.9459500002558343
2,200000,7,26,21,0.773455,post_filter,1.240625002537854,1.0,0.9379687498731073,0.6957054038303221,0.9336268613063898,0.2,False,post_filter,0.9379687498731073
2,200000,7,6,23,0.82095,post_filter,5.1664999991771765,1.0,0.7416750000411412,0.6757144669718435,0.8585399351304297,0.2,False,bitmap_prefilter,0.784793749495293
2,200000,7,42,3,0.12083,bitmap_prefilter,1.0493329973542131,0.9,0.6826374550598215,0.6706672024278286,0.4931426154162492,0.2,False,post_filter,0.6939648393218252
2,200000,7,11,8,0.23102,post_filter,3.902249998645857,0.8,0.17856879468888073,0.5460340558610753,0.5534464964068901,0.34,False,bitmap_prefilter,0.20031804176900284
2,200000,7,26,27,0.907765,post_filter,1.782792001904454,1.0,0.9108603999047773,0.5,0.8881303409870936,0.34,True,post_filter,0.9108603999047773
2,200000,7,1,3,0.12083,bitmap_prefilter,1.0282090079272166,1.0,0.9485895496036392,0.6718642276910279,0.4931426154162492,0.34,False,post_filter,0.9679458502214402
2,200000,7,37,11,0.3009,post_filter,1.1820409999927506,1.0,0.9408979500003625,0.6035885225842889,0.7897792965154788,0.34,False,post_filter,0.9408979500003625
2,200000,7,15,22,0.789645,post_filter,1.2149579997640103,1.0,0.9392521000117995,0.6957054038303221,0.9340610501630616,0.34,False,post_filter,0.9392521000117995
2,200000,7,24,20,0.750325,post_filter,1.0764999969978817,1.0,0.9461750001501059,0.6272004770688323,0.8872731179560042,0.34,False,post_filter,0.9461750001501059
2,200000,7,31,14,0.389405,post_filter,1.3406669968389906,1.0,0.9329666501580505,0.6823206201025586,0.7226784148998981,0.34,False,post_filter,0.9329666501580505
2,200000,7,16,4,0.14001,post_filter,0.6915010017110035,1.0,0.9654249499144498,0.6550807438091937,0.8782709385829071,0.34,False,post_filter,0.9654249499144498
2,200000,7,44,11,0.3009,post_filter,0.9774590071174316,1.0,0.9511270496441284,0.6035885225842889,0.8048911618639673,0.34,False,post_filter,0.9511270496441284
2,200000,7,3,7,0.210355,post_filter,1.1738330067601055,0.9,0.6781527385290579,0.4472288659332885,0.554366175720004,0.34,False,post_filter,0.6781527385290579
2,200000,7,34,11,0.3009,post_filter,1.1882920007337816,1.0,0.9405853999633109,0.6035885225842889,0.8195147506419833,0.34,False,post_filter,0.9405853999633109
2,200000,7,42,22,0.789645,post_filter,0.8256659930339083,1.0,0.9587167003483046,0.6957054038303221,0.9345801551479354,0.34,False,post_filter,0.9587167003483046
2,200000,7,16,24,0.83714,post_filter,0.8608749994891696,0.9,0.6894260545339351,0.6757144669718435,0.8468534416215009,0.34,False,post_filter,0.6894260545339351
2,200000,7,33,29,0.952505,post_filter,1.4862069947412238,1.0,0.9256896502629388,0.5,0.890403346878862,0.34,True,post_filter,0.9256896502629388
2,200000,7,47,25,0.86027,post_filter,1.1443339972174726,1.0,0.9427833001391264,0.6757144669718435,0.8311107029127444,0.34,False,post_filter,0.9427833001391264
2,200000,7,41,1,0.070755,post_filter,0.3549579996615648,0.6,0.012271735448789947,0.3300112132531894,0.6305666730283255,0.34,False,post_filter,0.012271735448789947
2,200000,7,43,25,0.86027,post_filter,1.3065000021015294,1.0,0.9346749998949235,0.6757144669718435,0.8422779626353826,0.34,False,post_filter,0.9346749998949235
2,200000,7,15,2,0.09076,post_filter,0.9231670046574436,0.8,0.2116151060969908,0.3300112132531894,0.5687371792703719,0.34,False,post_filter,0.2116151060969908
2,200000,7,31,3,0.12083,bitmap_prefilter,1.2496249983087182,1.0,0.9375187500845641,0.699536759882289,0.4931426154162492,0.34,False,post_filter,0.9516125502850628
2,200000,7,31,27,0.907765,post_filter,2.0697910003946163,1.0,0.8965104499802692,0.5,0.8939319772172697,0.34,True,post_filter,0.8965104499802692
2,200000,7,24,3,0.12083,bitmap_prefilter,1.167376001831144,1.0,0.9416311999084428,0.7233349589025165,0.4931426154162492,0.34,False,post_filter,0.961620849717292
2,200000,7,4,26,0.88188,post_filter,1.2245409961906262,1.0,0.9387729501904687,0.6757144669718435,0.8515176663613366,0.34,False,post_filter,0.9387729501904687
2,200000,7,16,12,0.31878,post_filter,0.8853330000420101,1.0,0.9557333499978995,0.6035885225842889,0.8316218155741161,0.34,False,post_filter,0.9557333499978995
2,200000,7,1,27,0.907765,post_filter,0.6484589976025745,1.0,0.9675770501198713,0.5,0.8941898244935697,0.34,True,post_filter,0.9675770501198713
2,200000,7,21,25,0.86027,post_filter,1.0568329962552525,1.0,0.9471583501872374,0.6757144669718435,0.8602431947442498,0.34,False,post_filter,0.9471583501872374
2,200000,7,4,18,0.70283,post_filter,1.2392499920679256,1.0,0.9380375003966037,0.7183951775832275,0.8965940061802955,0.34,False,post_filter,0.9380375003966037
2,200000,7,11,4,0.14001,post_filter,0.753708001866471,1.0,0.9623145999066764,0.6550807438091937,0.8869863397160613,0.34,False,post_filter,0.9623145999066764
2,200000,7,48,19,0.728715,post_filter,0.9722510003484786,1.0,0.9513874499825761,0.6272004770688323,0.8931633061754143,0.34,False,post_filter,0.9513874499825761
2,200000,7,16,2,0.09076,post_filter,2.2955830063438043,0.8,0.1963911977115176,0.3300112132531894,0.5330249719530338,0.34,False,post_filter,0.1963911977115176
2,200000,7,16,22,0.789645,post_filter,1.3078749980195425,0.9,0.6733243024760305,0.6957054038303221,0.9369938096679723,0.34,False,post_filter,0.6733243024760305
2,200000,7,7,25,0.86027,post_filter,1.0485010061529465,1.0,0.9475749496923527,0.6757144669718435,0.8689347102885485,0.34,False,post_filter,0.9475749496923527
2,200000,7,31,29,0.952505,post_filter,1.6419990060967393,1.0,0.917900049695163,0.5,0.9015285470561998,0.34,True,post_filter,0.917900049695163
2,200000,7,25,16,0.658305,post_filter,1.3282910076668486,1.0,0.9335854496166576,0.6101651786694441,0.8594750919226346,0.34,False,post_filter,0.9335854496166576
2,200000,7,27,12,0.31878,post_filter,1.096708008844871,1.0,0.9451645995577564,0.6035885225842889,0.8440329690164944,0.34,False,post_filter,0.9451645995577564
2,200000,7,43,23,0.82095,post_filter,1.4481669932138175,1.0,0.9275916503393091,0.6757144669718435,0.876798734228929,0.34,False,post_filter,0.9275916503393091
2,200000,7,24,4,0.14001,post_filter,0.7663330034120008,1.0,0.9616833498294,0.6550807438091937,0.8945191657351228,0.34,False,post_filter,0.9616833498294
2,200000,7,39,0,0.05003,post_filter,1.1330010020174086,0.6,0.011785712670496641,0.3300112132531894,0.4993615945288822,0.34,False,bitmap_prefilter,0.01198277152171459
2,200000,7,49,27,0.907765,post_filter,1.3697489921469241,1.0,0.9315125503926538,0.5,0.9031656973200961,0.34,True,post_filter,0.9315125503926538
