episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
77,0.230635,3,0.957657,0.996357,post_filter,False,1.0169,1.0,0.966103,0.957657,0.993331,25.1446,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
78,0.180604,1,0.828062,0.872298,post_filter,False,0.9027,1.0,0.969911,0.828062,0.88206,25.258,"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')"
79,0.881823,20,0.9,0.983158,post_filter,False,0.8088,1.0,0.97304,0.9,0.982146,25.2421,"overall IN (1,4,5)"
80,0.140751,1,0.828062,0.88206,post_filter,False,0.8212,1.0,0.972626,0.828062,0.891116,25.632,overall<=2.0
81,0.680906,18,0.81,0.986819,post_filter,False,0.398,1.0,0.986733,0.81,0.986811,25.3026,"overall IN (3,5)"
82,0.821657,20,0.9,0.982146,pre_filter,False,45.2951,1.0,0.0,0.81,0.982146,25.2777,"overall IN (1,2,3,5)"
83,0.728433,19,0.9,0.949188,post_filter,False,0.9624,1.0,0.967919,0.9,0.951061,25.1347,"overall IN (2,3,5)"
84,0.658182,18,0.81,0.986811,post_filter,False,0.8495,1.0,0.971682,0.81,0.985298,25.2656,verified=true AND overall>=3.0
85,0.339351,8,0.913599,0.996079,post_filter,False,0.3217,0.0,0.0,0.913599,0.896471,25.4457,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
86,0.12068,1,0.828062,0.891116,post_filter,False,0.9616,1.0,0.967946,0.828062,0.898799,25.1192,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
87,0.836128,20,0.81,0.982146,post_filter,False,0.4357,1.0,0.985476,0.81,0.982479,25.6232,"overall IN (2,4,5)"
88,0.248992,4,0.929172,0.996639,post_filter,False,0.429,1.0,0.9857,0.929172,0.995545,25.5545,"overall IN (3,4)"
89,0.210713,2,0.865354,0.957051,post_filter,False,0.9515,1.0,0.968283,0.865354,0.958174,25.5185,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
90,0.248992,4,0.929172,0.995545,post_filter,False,0.8495,1.0,0.971685,0.929172,0.993159,25.561,"overall IN (3,4)"
91,0.12068,1,0.828062,0.898799,post_filter,False,1.3122,0.8,0.171491,0.828062,0.826068,25.8448,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
92,0.073033,0,0.949155,0.812297,pre_filter,False,4.0032,1.0,0.866561,0.940896,0.812297,25.762,brand='Tiffen'
93,0.210713,2,0.865354,0.958174,post_filter,False,1.1742,0.7,0.045332,0.865354,0.86689,25.2442,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
94,0.339351,8,0.913599,0.896471,post_filter,False,0.981,1.0,0.967301,0.913599,0.903554,25.3372,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
95,0.751008,19,0.9,0.951061,post_filter,False,0.9245,1.0,0.969185,0.9,0.952873,25.3125,"overall IN (1,2,5)"
96,0.859249,20,0.81,0.982479,post_filter,False,1.09,1.0,0.963665,0.81,0.980598,25.2071,overall>=3.0
97,0.728433,19,0.9,0.952873,post_filter,False,1.0018,1.0,0.966606,0.9,0.954247,25.5478,"overall IN (2,3,5)"
98,0.389743,11,0.9,0.995123,post_filter,False,0.9242,1.0,0.969194,0.9,0.99253,25.2295,overall<=4.0
